CodigoCliente;CodigoContrato;DataInicio;DataTermino;Fechado;Placa;Cor;Modelo;ValorPeriodoVeiculo;ValorCombustivel;ValorLocacao;PeriodoTarifa;ValorDiversos
586;26009;08/05/2021;10/05/2021;Sim;RFT2A90;Branco;Ka Se 1.0 Ha;120;0;240;1;0
883;26433;12/05/2021;27/05/2021;Sim;RFY6A91;Branca;Hilux Cd 4x4 2.8 Diesel Mec;220;0;3550;1;250
1949;26081;21/05/2021;24/05/2021;Sim;QWU1035;Cinza;Etios Hb Xls 1.5;110;0;330;1;0
1983;26150;25/05/2021;26/05/2021;Sim;RMY0E62;Prata;VOYAGE 1.6 L MB5;110;0;140;1;30
2172;26157;27/05/2021;26/06/2021;Sim;QQU9615;Preta;Corolla Gli 1.8 Cvt;163,34;0;4900,2;1;0
2138;26160;28/05/2021;03/07/2021;Sim;RFI4A56;Branco;Ka Se 1.0 Ha;53,45;149,27;2073,47;1;0
2173;26182;28/05/2021;02/06/2021;Sim;RMY0E57;Prata;VOYAGE 1.6 L MB5;120;0;600;1;0
848;26435;04/06/2021;07/06/2021;Sim;QWU1185;Cinza;Etios Hb Xls 1.5;150;220,66;700,66;1;30
2175;26442;07/06/2021;25/06/2021;Sim;RMY0E59;Preta;VOYAGE 1.6 L MB5;90;188,21;2218,21;1;410
1961;26472;15/06/2021;17/07/2021;Sim;RFM9A43;Branco;Gol 1.0 Flex 12v 5p;1750;0;1866,67;30;0
1983;26489;17/06/2021;26/06/2021;Sim;QWU1064;Prata;Etios Hb Xls 1.5;100;0;900;1;0
848;26560;22/06/2021;26/06/2021;Sim;RMV8D72;Prata;Hilux Cd 4x4 2.8 Diesel Mec;300;0;1200;1;0
1983;26574;24/06/2021;26/06/2021;Sim;RGA5J84;Prata;STRADA ENDURANCE CS 1.4 02;140;0;900;1;620
335;26591;24/06/2021;30/06/2021;Sim;QOV1080;Preto;Renegade Lngtd At D;300;0;1950;1;0
1949;26586;25/06/2021;25/06/2021;Sim;RFM9A24;Branco;Gol 1.0 Flex 12v 5p;110;0;0;1;0
1949;26606;25/06/2021;28/06/2021;Sim;RMF0A24;Prata;Gol 1.6 Msi Flex 8v 5p;110;0;330;1;0
2181;26877;01/07/2021;15/07/2021;Sim;QWU1054;Prata;Etios Hb Xls 1.5;90;0;1560;1;300
