Codigo Cliente;Codigo Contrato;Data Inicio do contrato;Data Término do contrato;Fechado;Placa;Cor;Modelo;Valor Período (diária/mensal);Valor Periodo Seguro adicional;Periodo Tarifa;Valor Locação com seguro;;;;;;;;;;;;;;
86;2934;13/02/23;14/02/23;Sim;QUB6448;Branco;Fiat Strada Working Hard 1.4 Fire Flex 8V;223,40;39,00;1;262,40;;;;;;;;;;;;;;
70;2467;13/10/22;14/10/22;Sim;QQS9964;Branco;Ka 1.0 Ticvt Flex 8v 5p;125,00;28,00;1;153,00;;;;;;;;;;;;;;
11;356;03/01/21;04/01/21;Sim;PZM6980;Branco;Ka 1.0 Ticvt Flex 8v 5p;1250,00;177,00;30;1427,00;;;;;;;;;;;;;;
11;1109;03/09/21;08/09/21;Sim;PZM6980;Branco;Ka 1.0 Ticvt Flex 8v 5p;1250,00;177,00;30;1427,00;;;;;;;;;;;;;;
11;506;12/02/21;17/02/21;Sim;QNF9858;Branco;Ka 1.0 Ticvt Flex 8v 5p;1250,00;177,00;30;1427,00;;;;;;;;;;;;;;
49;1719;08/03/22;08/04/22;Sim;QQS7857;Branco;Ka 1.0 Ticvt Flex 8v 5p;1250,00;177,00;30;1427,00;;;;;;;;;;;;;;
49;1809;08/04/22;08/05/22;Sim;QQS7857;Branco;Ka 1.0 Ticvt Flex 8v 5p;1250,00;177,00;30;1427,00;;;;;;;;;;;;;;
49;1923;08/05/22;08/06/22;Sim;QQS7857;Branco;Ka 1.0 Ticvt Flex 8v 5p;1250,00;177,00;30;1427,00;;;;;;;;;;;;;;
49;2026;08/06/22;08/07/22;Sim;QQS7857;Branco;Ka 1.0 Ticvt Flex 8v 5p;1250,00;177,00;30;1427,00;;;;;;;;;;;;;;
49;2135;08/07/22;20/07/22;Sim;QQS7857;Branco;Ka 1.0 Ticvt Flex 8v 5p;1250,00;177,00;30;1427,00;;;;;;;;;;;;;;
82;2817;26/01/23;07/02/23;Sim;QOV8592;Branco;Ka 1.0 Ticvt Flex 8v 5p;97,00;28,00;1;125,00;;;;;;;;;;;;;;
82;3018;10/03/23;13/03/23;Sim;QOV8592;Branco;Ka 1.0 Ticvt Flex 8v 5p;126,00;28,00;3;210,00;;;;;;;;;;;;;;
95;3081;06/04/23;10/04/23;Sim;QQS7853;Branco;Ka 1.0 Ticvt Flex 8v 5p;125,00;28,00;1;153,00;;;;;;;;;;;;;;
48;1597;04/03/22;07/03/22;Sim;QNY5609;Branco;Ka 1.0 Ticvt Flex 8v 5p;345,00;28,00;3;429,00;;;;;;;;;;;;;;
29;1063;12/08/21;20/08/21;Sim;PZM6980;Branco;Ka 1.0 Ticvt Flex 8v 5p;350,00;28,00;4;462,00;;;;;;;;;;;;;;
39;1323;05/11/21;08/11/21;Sim;PZM6980;Branco;Ka 1.0 Ticvt Flex 8v 5p;300,00;28,00;4;412,00;;;;;;;;;;;;;;
39;1921;10/05/22;11/05/22;Sim;QQS7860;Branco;Ka 1.0 Ticvt Flex 8v 5p;154,00;28,00;3;238,00;;;;;;;;;;;;;;
42;1416;18/12/21;18/01/22;Sim;PZM6980;Branco;Ka 1.0 Ticvt Flex 8v 5p;2190,00;177,00;30;2367,00;;;;;;;;;;;;;;
37;1237;18/10/21;12/11/21;Sim;QOV8619;Branco;Ka 1.0 Ticvt Flex 8v 5p;1600,00;177,00;30;1777,00;;;;;;;;;;;;;;
9;266;05/11/20;18/03/21;Sim;PZM6966;Branco;Ka 1.0 Ticvt Flex 8v 5p;1480,00;177,00;30;1657,00;;;;;;;;;;;;;;
9;648;05/11/20;13/10/21;Sim;QNY5612;Branco;Ka 1.0 Ticvt Flex 8v 5p;1480,00;177,00;30;1657,00;;;;;;;;;;;;;;
67;2248;12/08/22;15/08/22;Sim;QQS7867;Branco;Ka 1.0 Ticvt Flex 8v 5p;385,00;28,00;3;469,00;;;;;;;;;;;;;;
