DataInicio;DataTermino;Modelo
01/03/2023 00:00;01/04/2023 00:00;Gol 1.0 Flex 12V 5P
01/04/2023 00:00;01/05/2023 00:00;Gol 1.0 Flex 12V 5P
06/12/2022 00:00;06/01/2023 00:00;Saveiro Robust 1.6 Total Flex 8V
06/01/2023 00:00;06/02/2023 00:00;Saveiro Robust 1.6 Total Flex 8V
06/02/2023 00:00;06/03/2023 00:00;Saveiro Robust 1.6 Total Flex 8V
06/03/2023 00:00;06/04/2023 00:00;Saveiro Robust 1.6 Total Flex 8V
06/04/2023 00:00;06/05/2023 00:00;Saveiro Robust 1.6 Total Flex 8V
01/12/2022 00:00;01/01/2023 00:00;Gol 1.0 Flex 12V 5P
01/01/2023 00:00;01/02/2023 00:00;Gol 1.0 Flex 12V 5P
01/02/2023 00:00;01/03/2023 00:00;Gol 1.0 Flex 12V 5P
01/03/2023 00:00;01/04/2023 00:00;Gol 1.0 Flex 12V 5P
01/04/2023 00:00;01/05/2023 00:00;Gol 1.0 Flex 12V 5P
12/07/2022 00:00;31/07/2022 00:00;Vw/Gol 1.0l Mc4
31/07/2022 00:00;31/08/2022 00:00;Vw/Gol 1.0l Mc4
31/08/2022 00:00;01/10/2022 00:00;Vw/Gol 1.0l Mc4
01/10/2022 00:00;01/11/2022 00:00;Vw/Gol 1.0l Mc4
01/11/2022 00:00;01/12/2022 00:00;Vw/Gol 1.0l Mc4
01/12/2022 00:00;01/01/2023 00:00;Vw/Gol 1.0l Mc4
01/01/2023 00:00;01/02/2023 00:00;Vw/Gol 1.0l Mc4
01/02/2023 00:00;01/03/2023 00:00;Vw/Gol 1.0l Mc4
01/03/2023 00:00;01/04/2023 00:00;Vw/Gol 1.0l Mc4
01/04/2023 00:00;01/05/2023 00:00;Vw/Gol 1.0l Mc4
13/07/2022 00:00;31/07/2022 00:00;Vw/Gol 1.0l Mc4
31/07/2022 00:00;31/08/2022 00:00;Vw/Gol 1.0l Mc4
31/08/2022 00:00;01/10/2022 00:00;Vw/Gol 1.0l Mc4
01/10/2022 00:00;01/11/2022 00:00;Vw/Gol 1.0l Mc4
01/11/2022 00:00;01/12/2022 00:00;Vw/Gol 1.0l Mc4
01/12/2022 00:00;01/01/2023 00:00;Vw/Gol 1.0l Mc4
01/01/2023 00:00;01/02/2023 00:00;Vw/Gol 1.0l Mc4
01/02/2023 00:00;01/03/2023 00:00;Vw/Gol 1.0l Mc4
01/03/2023 00:00;01/04/2023 00:00;Vw/Gol 1.0l Mc4
01/04/2023 00:00;01/05/2023 00:00;Vw/Gol 1.0l Mc4
13/07/2022 00:00;31/07/2022 00:00;Gol 1.0 Flex 12V 5P
31/07/2022 00:00;31/08/2022 00:00;Gol 1.0 Flex 12V 5P
31/08/2022 00:00;01/10/2022 00:00;Gol 1.0 Flex 12V 5P
01/10/2022 00:00;01/11/2022 00:00;Gol 1.0 Flex 12V 5P
01/11/2022 00:00;01/12/2022 00:00;Gol 1.0 Flex 12V 5P
01/12/2022 00:00;01/01/2023 00:00;Gol 1.0 Flex 12V 5P
01/01/2023 00:00;01/02/2023 00:00;Gol 1.0 Flex 12V 5P
01/02/2023 00:00;01/03/2023 00:00;Gol 1.0 Flex 12V 5P
01/03/2023 00:00;01/04/2023 00:00;Gol 1.0 Flex 12V 5P
01/04/2023 00:00;01/05/2023 00:00;Gol 1.0 Flex 12V 5P
07/09/2022 00:00;01/10/2022 00:00;Gol 1.0 Flex 12V 5P
01/10/2022 00:00;01/11/2022 00:00;Gol 1.0 Flex 12V 5P
01/11/2022 00:00;01/12/2022 00:00;Gol 1.0 Flex 12V 5P
01/12/2022 00:00;01/01/2023 00:00;Gol 1.0 Flex 12V 5P
01/01/2023 00:00;01/02/2023 00:00;Gol 1.0 Flex 12V 5P
01/02/2023 00:00;01/03/2023 00:00;Gol 1.0 Flex 12V 5P
01/03/2023 00:00;01/04/2023 00:00;Gol 1.0 Flex 12V 5P
01/04/2023 00:00;01/05/2023 00:00;Gol 1.0 Flex 12V 5P
17/10/2020 00:00;17/11/2020 00:00;Ka 1.0 Ticvt Flex 8v 5p
17/11/2020 00:00;17/12/2020 00:00;Ka 1.0 Ticvt Flex 8v 5p
17/12/2020 00:00;17/01/2021 00:00;Ka 1.0 Ticvt Flex 8v 5p
17/01/2021 00:00;17/02/2021 00:00;Ka 1.0 Ticvt Flex 8v 5p
17/02/2021 00:00;17/03/2021 00:00;Ka 1.0 Ticvt Flex 8v 5p
17/03/2021 00:00;17/04/2021 00:00;Ka 1.0 Ticvt Flex 8v 5p
17/04/2021 00:00;17/05/2021 00:00;Ka 1.0 Ticvt Flex 8v 5p
17/05/2021 00:00;17/06/2021 00:00;Ka 1.0 Ticvt Flex 8v 5p
17/06/2021 00:00;17/07/2021 00:00;Ka 1.0 Ticvt Flex 8v 5p
17/07/2021 00:00;17/08/2021 00:00;Ka 1.0 Ticvt Flex 8v 5p
17/08/2021 00:00;17/09/2021 00:00;Ka 1.0 Ticvt Flex 8v 5p
17/09/2021 00:00;17/10/2021 00:00;Ka 1.0 Ticvt Flex 8v 5p
17/10/2021 00:00;17/11/2021 00:00;Ka 1.0 Ticvt Flex 8v 5p
17/11/2021 00:00;17/12/2021 00:00;Ka 1.0 Ticvt Flex 8v 5p
17/12/2021 00:00;17/01/2022 00:00;Ka 1.0 Ticvt Flex 8v 5p
17/01/2022 00:00;17/02/2022 00:00;Ka 1.0 Ticvt Flex 8v 5p
17/02/2022 00:00;17/03/2022 00:00;Ka 1.0 Ticvt Flex 8v 5p
17/03/2022 00:00;17/04/2022 00:00;Ka 1.0 Ticvt Flex 8v 5p
17/04/2022 00:00;17/05/2022 00:00;Ka 1.0 Ticvt Flex 8v 5p
01/04/2022 00:00;01/05/2022 00:00;Ka 1.0 Ticvt Flex 8v 5p
01/05/2022 00:00;01/06/2022 00:00;Ka 1.0 Ticvt Flex 8v 5p
01/06/2022 00:00;01/07/2022 00:00;Ka 1.0 Ticvt Flex 8v 5p
01/07/2022 00:00;01/08/2022 00:00;Ka 1.0 Ticvt Flex 8v 5p
01/08/2022 00:00;01/09/2022 00:00;Ka 1.0 Ticvt Flex 8v 5p
01/09/2022 00:00;01/10/2022 00:00;Ka 1.0 Ticvt Flex 8v 5p
01/10/2022 00:00;01/11/2022 00:00;Ka 1.0 Ticvt Flex 8v 5p
01/11/2022 00:00;01/12/2022 00:00;Ka 1.0 Ticvt Flex 8v 5p
01/12/2022 00:00;01/01/2023 00:00;Ka 1.0 Ticvt Flex 8v 5p
01/01/2023 00:00;01/02/2023 00:00;Ka 1.0 Ticvt Flex 8v 5p
